SCAN_NAME,ws62,stdev62,wd60
201101040800,1.74,0.38,311.13
201101040810,1.53,0.51,296.73
201101040820,1.44,0.36,291.43
201101040830,1.45,0.45,257.43
201101040840,1.31,0.44,243.83
201101040850,1.72,0.4,241.13
201101040900,1.5,0.37,234.23
201101040910,1.75,0.44,251.73
201101040920,1.36,0.51,278.93
201101040930,1.83,0.51,266.83
201101040940,2.01,0.59,272.13
201101040950,2.42,0.59,270.63
201101041000,2.18,0.57,258.93
201101041010,2.36,0.73,240.23
201101041020,2.98,0.57,272.43
201101041030,3.23,0.73,256.43
201101041040,3.45,0.84,262.43
201101041050,4.35,0.74,278.93
201101041100,4.55,0.77,273.13
201101041110,4.54,0.65,272.23
201101041120,4.82,0.82,271.53
201101041130,5.58,0.88,261.83
201101041140,6.08,0.78,261.43
201101041150,6.57,0.77,250.33
201101041200,7.32,0.82,247.03
201101041210,7.48,0.86,247.73
201101041220,7.78,0.77,245.93
201101041230,7.58,0.83,251.43
201101041240,7.4,0.74,247.23
201101041250,7.93,0.66,244.53
201101041300,7.92,0.88,248.23
201101041310,8.02,0.83,242.83
201101041320,7.95,0.75,242.23
201101041330,8.23,0.83,244.53
201101041340,7.99,0.89,248.43
201101041350,8.02,0.87,249.83
201101041400,8.23,0.9,250.13
201101041410,7.75,0.93,249.93
201101041420,7.81,0.89,247.43
201101041430,8,0.91,245.03
201101041440,8.06,0.88,248.43
201101041450,7.72,0.7,243.53
201101041500,7.14,0.81,243.23
201101041510,7.35,0.69,239.43
201101041520,7.12,1,242.83
201101041530,7.07,0.78,240.63
201101041540,6.72,0.8,242.73
201101041550,6.29,0.94,247.53
201101041600,5.77,0.8,235.03
201101041610,5.81,0.78,237.33
201101041620,5.92,0.97,239.73
201101041630,6.22,0.76,234.93
201101041640,6.06,0.68,236.23
201101041650,5.92,0.93,231.33
201101041700,6.26,0.65,246.73
201101041710,5.66,0.78,233.23
201101041720,5.95,0.8,238.13
201101041730,5.4,0.78,226.43
201101041740,4.94,0.87,226.43
201101041750,5.24,0.71,239.43
201101041800,5.12,0.58,225.73
201101041810,4.79,0.69,229.53
201101041820,4.73,0.54,224.83
201101041830,3.82,0.43,226.93
201101041840,3.57,0.72,237.83
201101041850,3.47,0.51,254.13
201101041900,3.55,0.62,269.63
201101041910,3.56,0.38,266.53
201101041920,2.73,0.62,263.33
201101041930,1.57,0.32,284.83
201101041940,1.89,0.49,259.03
201101041950,2.17,0.32,280.23
201101042000,2.81,0.44,288.43
201101042010,3.41,0.29,285.43
201101042020,3.97,0.41,287.53
201101042030,4.42,0.43,278.13
201101042040,2.97,0.8,266.73
201101042050,2.64,0.4,274.73
201101042100,2.81,0.35,281.63
201101042110,3.11,0.61,280.83
201101042120,2.71,0.33,256.23
201101042130,3.07,0.4,263.63
201101042140,3.88,0.4,248.43
201101042150,3.83,0.46,248.23
201101042200,3.62,0.43,249.83
201101042210,3.78,0.51,263.13
201101042220,3.17,0.33,248.33
201101042230,2.94,0.37,248.33
201101042240,2.72,0.58,232.13
201101042250,2.36,0.35,224.83
201101042300,3.17,0.23,239.53
201101042310,2.47,0.74,240.93
201101042320,2.27,0.29,230.13
201101042330,2.47,0.47,251.53
201101042340,2.88,0.46,268.93
201101042350,2.74,0.35,265.23
201101050000,2.57,0.43,242.03
201101050010,2.61,0.43,227.73
201101050020,3.56,0.28,234.03
201101050030,4.17,0.35,238.33
201101050040,5,0.53,243.43
201101050050,5.22,0.49,250.73
201101050100,4.89,0.76,250.83
201101050110,3.96,0.39,237.43
201101050120,3.98,0.54,221.83
201101050130,4.11,0.33,210.63
201101050140,3.41,0.52,201.53
201101050150,3.08,0.38,227.13
201101050200,2.91,0.4,234.73
201101050210,3,0.38,224.43
201101050220,2.41,0.43,186.13
201101050230,1.91,0.54,174.63
201101050240,0.98,0.24,189.63
201101050250,0.85,0.19,198.93
201101050300,0.73,0.39,198.33
201101050310,1.05,0.28,197.73
201101050320,0.91,0.41,212.33
201101050330,1.4,0.29,271.93
201101050340,1.73,0.26,264.43
201101050350,1.96,0.32,256.23
201101050400,2.43,0.27,259.23
201101050410,2.03,0.3,242.83
201101050420,1.74,0.31,235.73
201101050430,1.83,0.21,248.33
201101050440,1.71,0.38,267.73
201101050450,1.37,0.18,238.23
201101050500,1.65,0.27,218.73
201101050510,1.39,0.49,196.83
201101050520,1.17,0.34,209.83
201101050530,1.27,0.3,226.43
201101050540,1.56,0.2,227.43
201101050550,1.5,0.19,243.33
201101050600,1.45,0.32,251.63
201101050610,1.47,0.27,248.33
201101050620,1.61,0.59,244.33
201101050630,1.66,0.29,260.13
201101050640,1.94,0.28,270.33
201101050650,1.82,0.26,280.13
201101050700,2.18,0.35,285.83
201101050710,2.05,0.33,279.73
201101050720,1.75,0.36,257.53
201101050730,2.2,0.29,259.63
201101050740,1.67,0.44,238.83
201101050750,2.19,0.29,236.73
201101050800,2.47,0.4,251.53
201101050810,2.48,0.28,254.93
201101050820,2.37,0.34,261.03
201101050830,2.46,0.36,246.13
201101050840,2.47,0.54,234.83
201101050850,2.26,0.45,234.03
201101050900,1.96,0.54,219.43
201101050910,2.12,0.43,234.83
201101050920,1.98,0.38,252.03
201101050930,2.09,0.5,250.93
201101050940,2.93,0.43,256.93
201101050950,3.16,0.48,241.63
201101051000,3.13,0.46,245.23
201101051010,2.71,0.45,251.03
201101051020,2.23,0.53,247.93
201101051030,2.46,0.58,250.63
201101051040,3,0.61,238.43
201101051050,3.09,0.53,245.93
201101051100,3.96,0.59,250.33
201101051110,4.26,0.88,246.93
201101051120,4.16,0.74,248.33
201101051130,4.8,0.73,242.63
201101051140,5.08,0.93,237.83
201101051150,5.17,0.82,239.43
201101051200,5.48,0.72,231.13
201101051210,5.28,0.77,229.53
201101051220,5.04,0.59,231.13
201101051230,5.59,0.64,226.93
201101051240,5.86,0.74,227.73
201101051250,6.34,0.69,232.33
201101051300,5.89,0.69,232.63
201101051310,5.92,0.74,232.53
201101051320,6.46,0.7,236.03
201101051330,6.57,0.69,233.43
201101051340,6.62,0.59,234.73
201101051350,6.67,0.7,235.43
201101051400,7.2,0.83,238.53
201101051410,7.72,0.78,236.53
201101051420,6.8,0.76,237.63
201101051430,6.69,0.7,234.93
201101051440,7.37,0.88,230.43
201101051450,7.95,0.77,223.43
201101051500,7.97,0.87,221.23
201101051510,8.48,0.7,214.43
201101051520,8.7,0.7,214.33
201101051530,7.79,0.88,212.33
201101051540,7,0.77,220.83
201101051550,6.51,0.82,228.23
201101051600,6.52,0.69,225.53
201101051610,6.7,0.76,228.93
201101051620,6.6,0.75,227.83
201101051630,6.27,0.67,215.53
201101051640,5.82,0.65,221.93
201101051650,6.31,0.73,216.83
201101051700,6.65,0.8,218.73
201101051710,5.99,0.68,219.93
201101051720,6.36,0.69,222.43
201101051730,6.01,0.63,227.43
201101051740,7.05,0.61,224.13
201101051750,6.43,0.67,225.73
201101051800,6.95,0.61,229.53
201101051810,5.71,0.77,227.33
201101051820,5.62,0.63,236.33
201101051830,5.65,0.56,242.93
201101051840,5.74,0.47,251.43
201101051850,6.11,0.46,250.53
201101051900,5,0.67,242.93
201101051910,5,0.49,220.53
201101051920,5.17,0.5,235.13
201101051930,4.62,0.45,233.23
201101051940,5.31,0.49,229.63
201101051950,5.34,0.47,243.03
201101052000,4.35,0.32,246.23
201101052010,4.96,0.4,249.93
201101052020,4.91,0.45,249.93
201101052030,4.04,0.32,247.93
201101052040,3.48,0.53,240.33
201101052050,2.84,0.36,239.63
201101052100,2.7,0.49,257.03
201101052110,3.45,0.4,238.33
201101052120,2.89,0.66,228.83
201101052130,2.11,0.4,236.03
201101052140,2.36,0.41,249.23
201101052150,3.46,0.48,259.93
201101052200,2.83,0.33,253.13
201101052210,3.27,0.31,234.73
201101052220,2.84,0.29,217.13
201101052230,2.53,0.39,224.53
201101052240,2.29,0.36,245.53
201101052250,2.6,0.46,263.13
201101052300,2.51,0.31,242.03
201101052310,3.28,0.32,238.13
201101052320,3.5,0.42,241.13
201101052330,2.81,0.52,240.93
201101052340,1.89,0.27,248.83
201101052350,2.19,0.5,252.13
201101060000,2.71,0.25,249.23
201101060010,2.52,0.5,243.43
201101060020,2.74,0.38,234.43
201101060030,3.39,0.47,235.73
201101060040,3.54,0.38,235.73
201101060050,2.43,0.42,220.13
201101060100,2.31,0.53,220.93
201101060110,1.56,0.32,214.53
201101060120,1.99,0.3,201.43
201101060130,2.13,0.25,207.43
201101060140,1.91,0.52,208.83
201101060150,2.22,0.37,220.13
201101060200,2.01,0.47,208.83
201101060210,1.77,0.4,230.63
201101060220,2.19,0.25,225.23
201101060230,2.32,0.27,214.93
201101060240,2.17,0.35,212.73
201101060250,2,0.27,214.73
201101060300,2.29,0.39,220.13
201101060310,2.06,0.26,224.33
201101060320,1.75,0.28,226.63
201101060330,2.35,0.29,261.93
201101060340,2.11,0.25,269.53
201101060350,2.1,0.26,286.03
201101060400,2.31,0.36,277.93
201101060410,1.98,0.28,260.13
201101060420,1.82,0.26,266.43
201101060430,1.93,0.22,249.63
201101060440,1.68,0.33,238.03
201101060450,1.62,0.25,222.83
201101060500,1.51,0.25,224.33
201101060510,1.52,0.39,242.53
201101060520,1.42,0.32,257.83
201101060530,1.58,0.27,272.53
201101060540,1.4,0.28,258.83
201101060550,0.83,0.26,258.13
201101060600,0.83,0.23,258.43
201101060610,0.98,0.32,304.03
201101060620,1.21,0.31,24.19
201101060630,1.75,0.33,63.53
201101060640,2.14,0.36,39.17
201101060650,2.28,0.28,40.66
201101060700,1.71,0.18,52.41
201101060710,1.57,0.25,54.22
201101060720,1.39,0.32,73.33
201101060730,0.88,0.39,70.93
201101060740,1.02,0.27,54.03
201101060750,1.26,0.32,70.23
201101060800,1.33,0.27,64.63
201101060810,1.27,0.29,55.17
201101060820,1.4,0.32,55.35
201101060830,1.04,0.32,53.11
201101060840,0.86,0.4,26.23
201101060850,1.78,0.37,330.53
201101060900,1.63,0.48,318.23
201101060910,0.97,0.53,344.8
201101060920,1.11,0.56,310.73
201101060930,1.45,0.45,280.23
201101060940,1.35,0.55,254.03
201101060950,2.49,0.65,252.53
201101061000,2.54,0.57,243.13
201101061010,3.25,0.61,230.63
201101061020,3.27,0.67,232.33
201101061030,3.29,0.56,236.63
201101061040,3.4,0.56,230.83
201101061050,3.61,0.6,227.53
201101061100,3.67,0.66,211.03
201101061110,4.35,0.58,212.43
201101061120,4.61,0.63,219.53
201101061130,4.81,0.53,219.53
201101061140,4.85,0.72,217.43
201101061150,5.19,0.61,213.93
201101061200,5.2,0.67,216.33
201101061210,5.22,0.6,222.03
201101061220,5.66,0.65,219.53
201101061230,5.79,0.74,220.23
201101061240,5.79,0.59,219.13
201101061250,6.53,0.71,216.03
201101061300,7.1,0.65,210.73
201101061310,7.63,0.83,211.43
201101061320,7.36,0.88,214.63
201101061330,6.86,0.74,215.13
201101061340,6.54,0.72,215.33
201101061350,7.68,0.78,210.83
201101061400,7.54,0.76,212.23
201101061410,7.39,0.69,212.13
201101061420,7.32,0.8,212.03
201101061430,7.75,0.86,210.23
201101061440,7.69,0.72,213.83
201101061450,7.63,0.77,207.73
201101061500,8.1,0.79,211.13
201101061510,7.93,0.73,206.03
201101061520,8.32,0.93,208.43
201101061530,8.78,0.84,207.33
201101061540,9.21,0.95,201.43
201101061550,9.26,0.78,206.63
201101061600,8.86,0.76,206.33
201101061610,8.91,1.08,203.93
201101061620,9.1,0.8,204.03
201101061630,9,0.84,202.13
201101061640,8.8,0.84,204.73
